DATE,CPIAUCSL
1947-01-01,21.7000000000000000
1947-04-01,22.0100000000000000
1947-07-01,22.4900000000000000
1947-10-01,23.1266666666666667
1948-01-01,23.6166666666666667
1948-04-01,23.9933333333333333
1948-07-01,24.3966666666666667
1948-10-01,24.1733333333333333
1949-01-01,23.9433333333333333
1949-04-01,23.9166666666666667
1949-07-01,23.7166666666666667
1949-10-01,23.6600000000000000
1950-01-01,23.5866666666666667
1950-04-01,23.7666666666666667
1950-07-01,24.2033333333333333
1950-10-01,24.6933333333333333
1951-01-01,25.6966666666666667
1951-04-01,25.9466666666666667
1951-07-01,25.9333333333333333
1951-10-01,26.3166666666666667
1952-01-01,26.4166666666666667
1952-04-01,26.4866666666666667
1952-07-01,26.6666666666666667
1952-10-01,26.6966666666666667
1953-01-01,26.6200000000000000
1953-04-01,26.7200000000000000
1953-07-01,26.8433333333333333
1953-10-01,26.8900000000000000
1954-01-01,26.9533333333333333
1954-04-01,26.9100000000000000
1954-07-01,26.8400000000000000
1954-10-01,26.7566666666666667
1955-01-01,26.7933333333333333
1955-04-01,26.7566666666666667
1955-07-01,26.7766666666666667
1955-10-01,26.8566666666666667
1956-01-01,26.8600000000000000
1956-04-01,27.0366666666666667
1956-07-01,27.3166666666666667
1956-10-01,27.5500000000000000
1957-01-01,27.7766666666666667
1957-04-01,28.0133333333333333
1957-07-01,28.2633333333333333
1957-10-01,28.4000000000000000
1958-01-01,28.7366666666666667
1958-04-01,28.9300000000000000
1958-07-01,28.9133333333333333
1958-10-01,28.9433333333333333
1959-01-01,28.9933333333333333
1959-04-01,29.0433333333333333
1959-07-01,29.1933333333333333
1959-10-01,29.3700000000000000
1960-01-01,29.3966666666666667
1960-04-01,29.5733333333333333
1960-07-01,29.5900000000000000
1960-10-01,29.7800000000000000
1961-01-01,29.8400000000000000
1961-04-01,29.8300000000000000
1961-07-01,29.9466666666666667
1961-10-01,29.9900000000000000
1962-01-01,30.1066666666666667
1962-04-01,30.2200000000000000
1962-07-01,30.3066666666666667
1962-10-01,30.3800000000000000
1963-01-01,30.4766666666666667
1963-04-01,30.5333333333333333
1963-07-01,30.7200000000000000
1963-10-01,30.8033333333333333
1964-01-01,30.9300000000000000
1964-04-01,30.9800000000000000
1964-07-01,31.0500000000000000
1964-10-01,31.1933333333333333
1965-01-01,31.2900000000000000
1965-04-01,31.4900000000000000
1965-07-01,31.5833333333333333
1965-10-01,31.7500000000000000
1966-01-01,32.0466666666666667
1966-04-01,32.3366666666666667
1966-07-01,32.6166666666666667
1966-10-01,32.8833333333333333
1967-01-01,32.9666666666666667
1967-04-01,33.1666666666666667
1967-07-01,33.5000000000000000
1967-10-01,33.8666666666666667
1968-01-01,34.2000000000000000
1968-04-01,34.5333333333333333
1968-07-01,35.0000000000000000
1968-10-01,35.4333333333333333
1969-01-01,35.8666666666666667
1969-04-01,36.4333333333333333
1969-07-01,36.9333333333333333
1969-10-01,37.5000000000000000
1970-01-01,38.1000000000000000
1970-04-01,38.6333333333333333
1970-07-01,39.0333333333333333
1970-10-01,39.6000000000000000
1971-01-01,39.9333333333333333
1971-04-01,40.3000000000000000
1971-07-01,40.7000000000000000
1971-10-01,41.0000000000000000
1972-01-01,41.3333333333333333
1972-04-01,41.6000000000000000
1972-07-01,41.9333333333333333
1972-10-01,42.3666666666666667
1973-01-01,43.0333333333333333
1973-04-01,43.9333333333333333
1973-07-01,44.8000000000000000
1973-10-01,45.9333333333333333
1974-01-01,47.3000000000000000
1974-04-01,48.5666666666666667
1974-07-01,49.9333333333333333
1974-10-01,51.4666666666666667
1975-01-01,52.5666666666666667
1975-04-01,53.2000000000000000
1975-07-01,54.2666666666666667
1975-10-01,55.2666666666666667
1976-01-01,55.9000000000000000
1976-04-01,56.4000000000000000
1976-07-01,57.3000000000000000
1976-10-01,58.1333333333333333
1977-01-01,59.2000000000000000
1977-04-01,60.2333333333333333
1977-07-01,61.0666666666666667
1977-10-01,61.9666666666666667
1978-01-01,63.0333333333333333
1978-04-01,64.4666666666666667
1978-07-01,65.9666666666666667
1978-10-01,67.5000000000000000
1979-01-01,69.2000000000000000
1979-04-01,71.4000000000000000
1979-07-01,73.7000000000000000
1979-10-01,76.0333333333333333
1980-01-01,79.0333333333333333
1980-04-01,81.7000000000000000
1980-07-01,83.2333333333333333
1980-10-01,85.5666666666666667
1981-01-01,87.9333333333333333
1981-04-01,89.7666666666666667
1981-07-01,92.2666666666666667
1981-10-01,93.7666666666666667
1982-01-01,94.6000000000000000
1982-04-01,95.9666666666666667
1982-07-01,97.6333333333333333
1982-10-01,97.9333333333333333
1983-01-01,98.0000000000000000
1983-04-01,99.1333333333333333
1983-07-01,100.1000000000000000
1983-10-01,101.1000000000000000
1984-01-01,102.5333333333333333
1984-04-01,103.5000000000000000
1984-07-01,104.4000000000000000
1984-10-01,105.3000000000000000
1985-01-01,106.2666666666666667
1985-04-01,107.2333333333333333
1985-07-01,107.9000000000000000
1985-10-01,109.0000000000000000
1986-01-01,109.5666666666666667
1986-04-01,109.0333333333333333
1986-07-01,109.7000000000000000
1986-10-01,110.4666666666666667
1987-01-01,111.8000000000000000
1987-04-01,113.0666666666666667
1987-07-01,114.2666666666666667
1987-10-01,115.3333333333333333
1988-01-01,116.2333333333333333
1988-04-01,117.5666666666666667
1988-07-01,119.0000000000000000
1988-10-01,120.3000000000000000
1989-01-01,121.6666666666666667
1989-04-01,123.6333333333333333
1989-07-01,124.6000000000000000
1989-10-01,125.8666666666666667
1990-01-01,128.0333333333333333
1990-04-01,129.3000000000000000
1990-07-01,131.5333333333333333
1990-10-01,133.7666666666666667
1991-01-01,134.7666666666666667
1991-04-01,135.5666666666666667
1991-07-01,136.6000000000000000
1991-10-01,137.7333333333333333
1992-01-01,138.6666666666666667
1992-04-01,139.7333333333333333
1992-07-01,140.8000000000000000
1992-10-01,142.0333333333333333
1993-01-01,143.0666666666666667
1993-04-01,144.1000000000000000
1993-07-01,144.7666666666666667
1993-10-01,145.9666666666666667
1994-01-01,146.7000000000000000
1994-04-01,147.5333333333333333
1994-07-01,148.9000000000000000
1994-10-01,149.7666666666666667
1995-01-01,150.8666666666666667
1995-04-01,152.1000000000000000
1995-07-01,152.8666666666666667
1995-10-01,153.7000000000000000
1996-01-01,155.0666666666666667
1996-04-01,156.4000000000000000
1996-07-01,157.3000000000000000
1996-10-01,158.6666666666666667
1997-01-01,159.6333333333333333
1997-04-01,160.0000000000000000
1997-07-01,160.8000000000000000
1997-10-01,161.6666666666666667
1998-01-01,162.0000000000000000
1998-04-01,162.5333333333333333
1998-07-01,163.3666666666666667
1998-10-01,164.1333333333333333
1999-01-01,164.7333333333333333
1999-04-01,165.9666666666666667
1999-07-01,167.2000000000000000
1999-10-01,168.4333333333333333
2000-01-01,170.1000000000000000
2000-04-01,171.4333333333333333
2000-07-01,173.0000000000000000
2000-10-01,174.2333333333333333
2001-01-01,175.9000000000000000
2001-04-01,177.1333333333333333
2001-07-01,177.6333333333333333
2001-10-01,177.5000000000000000
2002-01-01,178.0666666666666667
2002-04-01,179.4666666666666667
2002-07-01,180.4333333333333333
2002-10-01,181.5000000000000000
2003-01-01,183.3666666666666667
