DATE,CPILFESL
1957-01-01,28.6000000000000000
1957-04-01,28.8333333333333333
1957-07-01,29.0333333333333333
1957-10-01,29.2666666666666667
1958-01-01,29.4000000000000000
1958-04-01,29.5333333333333333
1958-07-01,29.6333333333333333
1958-10-01,29.8000000000000000
1959-01-01,29.9333333333333333
1959-04-01,30.1000000000000000
1959-07-01,30.2333333333333333
1959-10-01,30.4333333333333333
1960-01-01,30.5666666666666667
1960-04-01,30.6333333333333333
1960-07-01,30.6000000000000000
1960-10-01,30.7666666666666667
1961-01-01,30.8333333333333333
1961-04-01,30.9333333333333333
1961-07-01,31.0666666666666667
1961-10-01,31.1666666666666667
1962-01-01,31.2333333333333333
1962-04-01,31.3666666666666667
1962-07-01,31.4666666666666667
1962-10-01,31.5333333333333333
1963-01-01,31.6000000000000000
1963-04-01,31.7333333333333333
1963-07-01,31.8666666666666667
1963-10-01,32.0333333333333333
1964-01-01,32.2000000000000000
1964-04-01,32.2333333333333333
1964-07-01,32.3000000000000000
1964-10-01,32.4666666666666667
1965-01-01,32.6000000000000000
1965-04-01,32.7000000000000000
1965-07-01,32.7333333333333333
1965-10-01,32.9000000000000000
1966-01-01,33.0666666666666667
1966-04-01,33.4000000000000000
1966-07-01,33.7000000000000000
1966-10-01,34.0333333333333333
1967-01-01,34.2333333333333333
1967-04-01,34.5000000000000000
1967-07-01,34.8666666666666667
1967-10-01,35.2333333333333333
1968-01-01,35.6666666666666667
1968-04-01,36.0333333333333333
1968-07-01,36.5333333333333333
1968-10-01,37.0666666666666667
1969-01-01,37.5666666666666667
1969-04-01,38.1666666666666667
1969-07-01,38.7000000000000000
1969-10-01,39.2333333333333333
1970-01-01,39.8333333333333333
1970-04-01,40.5666666666666667
1970-07-01,41.1000000000000000
1970-10-01,41.7666666666666667
1971-01-01,42.1666666666666667
1971-04-01,42.6000000000000000
1971-07-01,42.9666666666666667
1971-10-01,43.2000000000000000
1972-01-01,43.5666666666666667
1972-04-01,43.9000000000000000
1972-07-01,44.2333333333333333
1972-10-01,44.4666666666666667
1973-01-01,44.8000000000000000
1973-04-01,45.2666666666666667
1973-07-01,45.7333333333333333
1973-10-01,46.5000000000000000
1974-01-01,47.2333333333333333
1974-04-01,48.4666666666666667
1974-07-01,50.1333333333333333
1974-10-01,51.6000000000000000
1975-01-01,52.7000000000000000
1975-04-01,53.5333333333333333
1975-07-01,54.2333333333333333
1975-10-01,55.1666666666666667
1976-01-01,56.2000000000000000
1976-04-01,56.9666666666666667
