DATE,UNRATE
1948-01-01,3.7333333333333333
1948-04-01,3.6666666666666667
1948-07-01,3.7666666666666667
1948-10-01,3.8333333333333333
1949-01-01,4.6666666666666667
1949-04-01,5.8666666666666667
1949-07-01,6.7000000000000000
1949-10-01,6.9666666666666667
1950-01-01,6.4000000000000000
1950-04-01,5.5666666666666667
1950-07-01,4.6333333333333333
1950-10-01,4.2333333333333333
1951-01-01,3.5000000000000000
1951-04-01,3.1000000000000000
1951-07-01,3.1666666666666667
1951-10-01,3.3666666666666667
1952-01-01,3.0666666666666667
1952-04-01,2.9666666666666667
1952-07-01,3.2333333333333333
1952-10-01,2.8333333333333333
1953-01-01,2.7000000000000000
1953-04-01,2.5666666666666667
1953-07-01,2.7333333333333333
1953-10-01,3.7000000000000000
1954-01-01,5.2666666666666667
1954-04-01,5.8000000000000000
1954-07-01,5.9666666666666667
1954-10-01,5.3333333333333333
1955-01-01,4.7333333333333333
1955-04-01,4.4000000000000000
1955-07-01,4.1000000000000000
1955-10-01,4.2333333333333333
1956-01-01,4.0333333333333333
1956-04-01,4.2000000000000000
1956-07-01,4.1333333333333333
1956-10-01,4.1333333333333333
1957-01-01,3.9333333333333333
1957-04-01,4.1000000000000000
1957-07-01,4.2333333333333333
1957-10-01,4.9333333333333333
1958-01-01,6.3000000000000000
1958-04-01,7.3666666666666667
1958-07-01,7.3333333333333333
1958-10-01,6.3666666666666667
1959-01-01,5.8333333333333333
1959-04-01,5.1000000000000000
1959-07-01,5.2666666666666667
1959-10-01,5.6000000000000000
1960-01-01,5.1333333333333333
1960-04-01,5.2333333333333333
1960-07-01,5.5333333333333333
1960-10-01,6.2666666666666667
1961-01-01,6.8000000000000000
1961-04-01,7.0000000000000000
1961-07-01,6.7666666666666667
1961-10-01,6.2000000000000000
1962-01-01,5.6333333333333333
1962-04-01,5.5333333333333333
1962-07-01,5.5666666666666667
1962-10-01,5.5333333333333333
1963-01-01,5.7666666666666667
1963-04-01,5.7333333333333333
1963-07-01,5.5000000000000000
1963-10-01,5.5666666666666667
1964-01-01,5.4666666666666667
1964-04-01,5.2000000000000000
1964-07-01,5.0000000000000000
1964-10-01,4.9666666666666667
1965-01-01,4.9000000000000000
1965-04-01,4.6666666666666667
1965-07-01,4.3666666666666667
1965-10-01,4.1000000000000000
1966-01-01,3.8666666666666667
1966-04-01,3.8333333333333333
1966-07-01,3.7666666666666667
1966-10-01,3.7000000000000000
1967-01-01,3.8333333333333333
1967-04-01,3.8333333333333333
1967-07-01,3.8000000000000000
1967-10-01,3.9000000000000000
1968-01-01,3.7333333333333333
1968-04-01,3.5666666666666667
1968-07-01,3.5333333333333333
1968-10-01,3.4000000000000000
1969-01-01,3.4000000000000000
1969-04-01,3.4333333333333333
1969-07-01,3.5666666666666667
1969-10-01,3.5666666666666667
1970-01-01,4.1666666666666667
1970-04-01,4.7666666666666667
1970-07-01,5.1666666666666667
1970-10-01,5.8333333333333333
1971-01-01,5.9333333333333333
1971-04-01,5.9000000000000000
1971-07-01,6.0333333333333333
1971-10-01,5.9333333333333333
1972-01-01,5.7666666666666667
1972-04-01,5.7000000000000000
1972-07-01,5.5666666666666667
1972-10-01,5.3666666666666667
1973-01-01,4.9333333333333333
1973-04-01,4.9333333333333333
1973-07-01,4.8000000000000000
1973-10-01,4.7666666666666667
1974-01-01,5.1333333333333333
1974-04-01,5.2000000000000000
1974-07-01,5.6333333333333333
1974-10-01,6.6000000000000000
